substance,n,case_frac,out_of_scope,mean_nnd_m,null_nnd_m,localization,z,p_clustered,pct_at_facility,top_zip,top_zip_pct
PCP,367,0.04841688654353562,False,939.3231344848241,1297.2612090592856,1.3810595751703425,-4.102382448545721,0.001,14.441416893732969,90013,6.267029972752043
Ketamine,58,0.007651715039577837,False,2645.7010080546597,3713.893100925204,1.4037463377828807,-2.144071407777417,0.01,13.793103448275861,91754,5.172413793103448
Methamphetamine,4631,0.6109498680738786,True,300.4987026590881,316.8096616770498,1.0542796320703796,-2.4984789483484393,0.01,16.32476786871086,90057,3.8652558842582594
Cocaine,1454,0.19182058047493403,False,562.7064002732914,613.3889747418264,1.0900693051366037,-2.0155404978666187,0.023,18.363136176066025,90013,6.533700137551582
MDMA,51,0.006728232189973615,False,3163.952861964047,4034.940557543786,1.2752846624393346,-1.5423519476700032,0.054,5.88235294117647,90020,3.9215686274509802
Fentanyl,4427,0.5840369393139841,True,314.2778772091992,325.1445099762829,1.034576511918624,-1.5809046578252521,0.062,13.824260221368872,90057,4.675852721933589
Buprenorphine,9,0.001187335092348285,False,6221.590866801581,11329.96558869183,1.8210721069989582,-1.32906691480672,0.074,11.11111111111111,91601,22.22222222222222
Amphetamine,79,0.010422163588390501,False,2589.4051271696094,3056.041118033389,1.1802097269243625,-1.3306786163914854,0.078,44.303797468354425,90017,7.594936708860759
Hydromorphone,18,0.00237467018469657,False,5653.978722305821,7695.567954940065,1.3610889486689892,-1.128873711790611,0.138,22.22222222222222,93551,16.666666666666668
Lidocaine,39,0.005145118733509235,False,3881.234981052699,4748.782547726021,1.2235235874427832,-1.15775258065668,0.14,7.6923076923076925,90057,7.6923076923076925
Codeine,50,0.006596306068601583,False,3487.9577482489076,4043.2292484961945,1.1591967392741656,-0.9437029476253467,0.179,14.000000000000002,90011,6.0
para-Fluorofentanyl,179,0.023614775725593666,False,1797.0434465379215,1932.3199988943932,1.0752772853750907,-0.7766111960566172,0.229,11.1731843575419,90057,4.4692737430167595
Chlordiazepoxide,11,0.0014511873350923482,False,7749.648380739647,10144.919180347915,1.3090812230347484,-0.7925843641594198,0.239,0.0,91502,18.181818181818183
Lorazepam,35,0.004617414248021108,False,4624.524563786748,5084.360050898645,1.0994341106354433,-0.5459641291394356,0.3,8.571428571428571,93534,8.571428571428571
Hydrocodone,106,0.013984168865435357,False,2488.1037189983253,2576.00397959336,1.0353282139823423,-0.3318068030957192,0.391,10.377358490566039,90003,4.716981132075472
"1,1-Difluoroethane",16,0.0021108179419525065,False,7587.0628765022975,8265.537705666804,1.0894252282086383,-0.3262756209344536,0.406,0.0,90810,6.25
Morphine,88,0.011609498680738786,False,2794.3699565683764,2876.298296873826,1.0293190742739238,-0.2539054654403714,0.41,12.5,91731,3.409090909090909
Hydroxyzine,18,0.00237467018469657,False,7399.2152071940445,7662.189776289409,1.0355408731509366,-0.1472944970814093,0.458,0.0,91605,11.11111111111111
Bupropion,19,0.0025065963060686017,False,7327.661589328862,7420.6528457732,1.0126904409149788,-0.054383140777941125,0.473,10.526315789473683,93534,10.526315789473685
Clonazepam,44,0.005804749340369393,False,4392.520408529585,4402.048446046246,1.0021691504262924,-0.014455634493279457,0.495,4.545454545454546,90010,4.545454545454546
Xylazine,9,0.001187335092348285,False,11671.808725877147,11492.375445044714,0.9846267802149107,0.047875827097283455,0.539,11.11111111111111,90061,11.11111111111111
Mirtazapine,13,0.0017150395778364115,False,9738.612486306474,9422.949401855001,0.96758644161113,0.12170606618299214,0.568,7.6923076923076925,91356,15.384615384615385
Carfentanil,22,0.0029023746701846965,False,7219.403958934375,6895.356535087717,0.955114379844941,0.22166951509365168,0.581,0.0,91601,18.181818181818183
Fluoxetine,16,0.0021108179419525065,False,8711.228679145184,8251.470888422438,0.9472223944914437,0.22185418036795737,0.584,0.0,90241,6.25
Temazepam,12,0.0015831134564643799,False,10453.117728845502,9844.933393716794,0.941817900562775,0.22122564096866487,0.603,0.0,91502,8.333333333333334
Trazodone,33,0.0043535620052770445,False,5528.927517566677,5277.0668224739875,0.9544467359551251,0.2728501878863224,0.611,9.090909090909092,90403,6.0606060606060606
Venlafaxine,8,0.0010554089709762533,False,13478.536351274892,12397.126263645541,0.919767988196503,0.2504294260083039,0.62,12.5,93510,12.5
Acetyl fentanyl,106,0.013984168865435357,False,2671.8758962757297,2587.229051534037,0.9683193201975885,0.3088080201652798,0.643,14.150943396226415,90012,5.660377358490566
Quetiapine,38,0.005013192612137203,False,5091.179056591493,4775.731394267279,0.9380403519856944,0.40515139271553263,0.659,5.263157894736842,90036,10.526315789473685
Olanzapine,13,0.0017150395778364115,False,10906.971318022239,9224.606974186801,0.8457532989881832,0.6524237238257119,0.727,0.0,93510,7.6923076923076925
Bromazolam,33,0.0043535620052770445,False,5952.453523129024,5284.6345856961525,0.8878077863459203,0.732262886091492,0.768,3.0303030303030303,90710,6.0606060606060606
Methadone,44,0.005804749340369393,False,4938.040386400632,4389.07962285681,0.8888302402192455,0.7835120323210101,0.793,11.363636363636363,90033,6.818181818181818
Tramadol,44,0.005804749340369393,False,5086.683554514468,4397.656180485485,0.8645429056782064,1.0233041609716524,0.857,6.8181818181818175,91321,6.818181818181818
Gabapentin,9,0.001187335092348285,False,16371.244576721281,11531.818424560432,0.7043947312935412,1.268343292198211,0.882,0.0,90731,11.11111111111111
Diphenhydramine,36,0.00474934036939314,False,6072.841752975813,5048.09537410581,0.8312575198640971,1.2541724832296646,0.894,11.11111111111111,90301,5.555555555555555
Cyclobenzaprine,12,0.0015831134564643799,False,13538.561875776291,9645.690537742152,0.7124604981124758,1.3892624980108288,0.904,8.333333333333332,90220,16.666666666666668
