substance,jurisdiction,jurisdiction_level,agency,notice_date,evidence_basis,source_url,source_verification,notes
Xylazine,Los Angeles County,county,LA County Department of Public Health,2023-03-08,inferred-from-neighboring-jurisdictions,https://lacounty.gov/2023/03/08/health-alert-xylazine-in-illicit-drugs-increasing-risk-for-overdose/,direct-fetch-full-text,"Read the actual document, not a search summary. It cites zero LA County detection data -- it warns xylazine is 'likely present' in LA's supply because San Francisco and San Diego had detected it in 2023 (SF also reported 4 xylazine+fentanyl deaths in 2023). This is the single strongest citation in this file precisely because it was verified directly, and precisely because that verification revealed the notice is anticipatory, not evidence of local presence at the time it was issued -- consistent with the independent LA drug-checking study showing 0% xylazine positivity in LA's fentanyl supply as of 2023Q1."
Xylazine,California,state,California Department of Public Health,2023-02-16,not-stated,https://www.cdph.ca.gov/Programs/CCDPHP/sapb/CDPH%20Document%20Library/Issue-Brief-Xylazine_ADA.pdf,search-snippet-single-source,Date and the existence of a distinct dated 'alert' (as opposed to this undated issue-brief PDF) were not independently confirmed -- a single WebSearch snippet claimed the 2023-02-16 date. Do not treat as confirmed; the weakest citation in this file.
Xylazine,United States,federal,DEA,2023-03-20,not-stated,https://www.dea.gov/alert/dea-reports-widespread-threat-fentanyl-mixed-xylazine,search-snippet-corroborated-2-sources,"Corroborated by two independent search results (DEA.gov and a CNN report of the same alert), stronger than a single snippet but still not a direct fetch of either page. A national supply-chain warning, not evidence specific to LA."
Bromazolam,Los Angeles County,county,,,n/a-no-notice-found,,searched-not-found,"No LA County or California DPH notice found despite searching. This is a real local emergence per our own ME data (onset 2023Q3) with no corresponding local-government alert -- consistent with the media-salience-bias pattern: xylazine got 'zombie drug' national coverage and a county alert; bromazolam, an equally real local signal, got neither."
Bromazolam,"(trade/forensic-toxicology, not a health department)",other,CFSRE / NPS Discovery,2022-06-15 (unconfirmed),not-stated,https://www.cfsre.org/images/content/reports/public_alerts/Public-Alert_Bromazolam_NPS-Discovery_061522.pdf,fetch-attempted-403-unconfirmed,The date is inferred from the PDF filename ('061522') only -- the document itself returned 403 Forbidden and was never read. Included because it is the closest thing to a primary source for the 4%->73% national designer-benzo supply-share figure cited in known_emergences.csv (previously sourced secondhand via Filter magazine); it is not a government health notice.
Carfentanil,Los Angeles County,county,,,n/a-no-notice-found,,searched-not-found,No LA County or California DPH notice found. Same media-salience-bias pattern as bromazolam.
Carfentanil,United States,federal,CDC,,not-stated,https://www.cdc.gov/mmwr/volumes/73/wr/mm7348a2.htm,search-snippet-only,"MMWR 73(48) is a periodic surveillance report, not an issued alert with a single notice date -- doesn't fit this schema cleanly, listed for completeness. Not fetched directly."
para-Fluorofentanyl,Los Angeles County,county,,,n/a-no-notice-found,,searched-not-found,No LA County or California DPH notice found.
para-Fluorofentanyl,United States,federal,CDC,,not-stated,https://www.cdc.gov/mmwr/volumes/71/wr/mm7139a3.htm,search-snippet-only,"Same as carfentanil -- MMWR surveillance report, not a dated alert. Not fetched directly."
Mitragynine,Los Angeles County,county,,,n/a-no-notice-found,,not-searched,"Not searched -- kratom is a legal supplement, so the alert-issuance framework this file is built around doesn't really apply to it the way it does for the other four substances."
